"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","afr__003","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","ssw__005","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","tsn__005","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","tso__001","tso__002","tso__003","tso__004"
"account {credit}","","","","rekening","","","i-akhawunti","","","ityala","isikweliti","i-akhawunti","i-akhawunti","","","","","i-akhawundi","","","","tshupatlotlo","akhaonte","","","","akhaonte","tšhupatlotlo","","akhaonte","","akhaunthu","","","akhawunti","nkota","",""
"accrued income {investment}","","","","opgeloopte inkomste","opgelope inkomste","","ingenisomali eqongelelwe","","","ingeniso engekahlawulwa","ingeniso engekabhatalwa","","imalingena lecongelelwe","imalingena lelindzelekile","","","","ingeniso elindelweko","","","","lotsenokokoantsweng","","","","","letseno leo le kokotletšego","letseno leo le oketšegilego","","lekeno le lebeletsweng","","mbuelokhuvhanganywa","","","malinghena leyi languteriweke","","",""
"accrued income {services rendered}","","","","opgeloopte inkomste","opgelope inkomste","","ingenisomali eqongelelwe","","","intlawulo engekafunyanwa","","","imalingena lecongelelwe","imalingena lelindzelekile","","","","ingeniso elindelweko","","","","lotsenokokoantsweng","","","","","letseno la ditirelo","","","lekeno le lebeletsweng","","mbuelondavhelelwa","","","malinghena leyi languteriweke","","",""
"accrued interest {investment}","","","","opgeloopte rente","opgelope rente","","inzalomali eqongelelwe","","","inzala engekahlawulwa","inzala engekabhatalwa","","intalo lelindzelekile","","","","","inzalo elindelweko","amakonyana alindelweko","","","morokotsokokoantsweng","","","","","tswala yeo e kokotletšego","tswala yeo e oketšegilego","","tswala e lebeletsweng","","nzwalelondavhelelwa","","","ntswalo lowu languteriweke","","",""
"additional excess","","","","addisionele bybetaling","","","inhlangabezozindleko eyengeziwe","","","intlawulelo-bango eyongezelelweyo","i-eksesi eyongezelelweyo","","inhlawulongetelelo","","","","","inaningezelelo elingezelelako","ilaselelomali elingezelelako","","","tlaleletsokoketso","","","","","tefelotlaleletšo yeo e okeditšwego","","","eksese ya tlatsetso","","mbadelonyinganyengedzedzwa","","","hakeloengetelo","hakelotlhandlekelo","",""
"administration fee","administrative charge","","","administrasiegeld","","","isibizo sokusingatha","","","intlawulo yezolawulo","","","imali yekulawula","","","","","imbadalo yokuphatha","imbadalo yokukhambisa","","","maditsamaiso","","","","","tefo ya tshepedišo","","","tefiso ya tsamaiso","","masheleni a ndaulo","","","malifambiso","","",""
"administrative costs","","","","administratiewe koste","","","izindleko zokusingatha","","","iindleko zezolawulo","","","tindleko tekulawula","","","","","iindleko zokuphatha","iindleko zekambiso","iindleko zokukhambisa","","ditshenyegelotsamaiso","","","","","ditshenyagalelo tša tshepedišo","ditshenyegelo tša tshepedišo","","ditjeo tsa tsamaiso","","tshinyalelo dza ndaulo","","","hakelofambiso","","",""
"affidavit <Latin>","","","","beëdigde verklaring","","","isitatimende esifungelwe","i-afidavidi","","ingxelo efungelweyo","i-afidavithi","","sitatimende lesifungelwe","i-afidavithi","","","","isitatimende esifungelweko","i-afidavidi","","","lokwalokano","pegokano","afidaviti","","","afidaviti","lengwalokeno","","afidaviti","lengolo la tlhapanyo","afidevithi","","","xihlambanyovumbhoni","afidavhiti","",""
"affordable <adj.>","","","","bekostigbaar","","","okuthengekayo","","","-fikelelekayo","","","-tsengekako","","","","","-thengekako","","","","-rekega","","","","","-rekega","","","-fihlelehang","-rekehang","-konadzea","-swikelea","","-xaveka","-fikeleleka","",""
"agreed value","","","","ooreengekome waarde","","","inanibungako eliyisibopho","inanibungako okuvunyelwane ngalo","","ixabiso ekuvunyelwene ngalo","","","linani lekuvunyelwene ngalo","","","","","inani ekuvunyelwene ngalo","","","","bolengtumelano","","","","","boleng bjo bo kwanetšwego","","","boleng bo dumellanweng","","ndeme yo tendelanwaho","","","nkokha lowu twananeriweke","","",""
"all-risks insurance","all-risk coverage","","","allerisikoversekering","alrisikoversekering","","umshwalense oncuphezonke","","","i-inshorensi equka konke","","","umshwalensi lofaka konkhe lokungaba yingoti","","","","","itjhorensi ebhadalela koke okuyingozi","","","","tshireletsogotlhe","inšorensekakaretso","","","","inšorense ya go akaretša dikotsi ka moka","inišorentshe ya go akaretša dikotsi ka moka","","inshorense ya dikotsi tsohle","","ndindakhombokateli","","","ndzindzakhombo wa mixungeto hinkwayo","","",""
"anniversary {financial}","renewal date","anniversary date","","hernuwingsdatum","","","impothulanyaka","","","i-anivesari","ixesha lokuvuselela","","lusuku lwekuvuselela","","","","","ilanga lokubuyekeza","i-anivesari","","","letsosoloso","lentšhwafatso","","","","anivesari","","","sehopotso","anivesari","anivesari","","","anivhesari","","",""
