"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","Setswana__-","nde__002","nde__003","nso__001","Sesotho__-","nso__002","nso__003","nso__004","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"abdominal <adj.> {anatomy}","","","abdominaal","abdominale","buik-","","","","-namazantsi esisu","","","","-phatselene nesisu","","","","-phathelene namathumbu","","-phathelene nendeni","","-mpa","","","","","thumbuni","","","","","","-byeke","","",""
"abdominal cavity","","","abdominale holte","buikholte","","","","","isiqulathimbilini","","","","sigcinitibilini","sicukatsitibilini","","","isimumathimathumbu","","isimumathindeni","","lešobampa","","phagompa","","","thumbuthumbu","","","","","","baku ra byeke","","",""
"abrasion {medical}","","","skaafplek","skaafwond","","","","","umkrwelo","","","","umhubuko","","","","umrhuzuko","","umrhubuko","","kgobogo","","","","","mukhuvhulane","","","","","","ntshwumuko","","",""
"acetone","","","asetoon","dimetielketoon","","","","","iasethoni","","","","i-asethoni","","","","i-asethoni","","","","asethoune","","","","","asethouni","","","","","","asethoni","","",""
"acid indigestion","","","sooibrand","","","","","","isitshisa","isilungulela","","","silungulela","","","","ukuthonta kwe-esidi ngokweqileko","","","","seokelela","","","","","tshayatsukanyo ya dungi","tshayatsukanyo ya esidi","","","","","nkampfuvelo wa asidi","nkanghayelo wa asidi","",""
"acne {bacterial infection}","","","aknee","","","","","","amaqhuqhuva okufikisa","","","","emajiji","ematjitji","","","amathuthuva wokugula","","amajiji wokugula","","dithala","","","","","vhupunduphundu","","","","","","swidlanhlangana","swibundzwana","swirhumbana",""
"acquired deformity {condition contracted after birth}","","","verworwe misvorming","","","","","","ubulima ongazalwanga nabo","","","","bunkhubela","","","","ubuqhwala","","ukukhubazeka","","kgolofalo","","","","","vhuholefhali ho tou ḓaho","","","","","","vulamari","vugonoki {a ri amukeleki}","",""
"acrylate {used in e.g. taste masking}","","","akrilaat","","","","","","iakhrileyithi","","","","i-akhrayilathi","","","","i-akhrileyithi","","","","akhrileiti","","akhirileiti","","","akhrilethi","","","","","","akhirileti","","",""
"active pharmaceutical ingredient","API","","aktiewe farmaseutiese bestanddeel","aktiewe bestanddeel","","","","","undoqochiza kumxube","undoqoyeza kumxube","","","likhambingco","","","","isithako esiyisika","","","","motswakokgolo","","","","","thimbyana dza mushonga dzi no shuma","","","","","","xicincavutitwi emirini","","",""
"acupuncture","","","akupunktuur","","","","","","iatyhuphanktsha","unyango ngeenalitana","","","kwelapha ngemutsitinsungulo","i-akhuphansha","","","ukulumeka","","i-akhyuphantjha","","go lomega","","tomego","akhuphantšha","","akhuphantsha","","","","","","mphulo","ku lumeka","ku tlhavela",""
